Ticker,close,date,high,low,month,open,volume,Sector
HINDALCO,484.45,2023-11-09 05:30:00,488.8,483.15,2023-11,488.8,3271496,Metals
HINDALCO,481.3,2023-11-10 05:30:00,488.25,479.55,2023-11,482.05,3498064,Metals
HINDALCO,482.45,2023-11-12 05:30:00,486.0,480.65,2023-11,485.0,302230,Metals
HINDALCO,487.5,2023-11-13 05:30:00,492.35,481.1,2023-11,482.0,4918873,Metals
HINDALCO,505.4,2023-11-15 05:30:00,513.5,494.2,2023-11,497.0,11674265,Metals
HINDALCO,504.3,2023-11-16 05:30:00,507.45,497.15,2023-11,504.0,4171759,Metals
HINDALCO,497.75,2023-11-17 05:30:00,506.45,496.85,2023-11,503.05,3595049,Metals
HINDALCO,497.3,2023-11-20 05:30:00,505.95,496.55,2023-11,500.15,4305637,Metals
HINDALCO,506.85,2023-11-21 05:30:00,510.95,501.9,2023-11,502.8,7154476,Metals
HINDALCO,500.25,2023-11-22 05:30:00,506.85,498.95,2023-11,504.9,4337970,Metals
HINDALCO,501.95,2023-11-23 05:30:00,503.0,491.65,2023-11,499.0,6628259,Metals
HINDALCO,507.8,2023-11-24 05:30:00,512.75,502.55,2023-11,504.85,5973059,Metals
HINDALCO,515.6,2023-11-28 05:30:00,518.25,509.8,2023-11,511.75,7804926,Metals
HINDALCO,517.45,2023-11-29 05:30:00,523.35,513.9,2023-11,519.0,6275280,Metals
HINDALCO,515.65,2023-11-30 05:30:00,519.75,511.35,2023-11,519.3,7599701,Metals
HINDALCO,517.2,2023-12-01 05:30:00,524.8,515.3,2023-12,520.05,4933886,Metals
HINDALCO,519.25,2023-12-04 05:30:00,526.65,516.55,2023-12,524.05,5985489,Metals
HINDALCO,520.65,2023-12-05 05:30:00,528.8,515.45,2023-12,518.35,6399021,Metals
HINDALCO,523.0,2023-12-06 05:30:00,526.95,515.6,2023-12,521.0,4831956,Metals
HINDALCO,516.05,2023-12-07 05:30:00,522.4,515.1,2023-12,521.0,4628885,Metals
HINDALCO,520.35,2023-12-08 05:30:00,525.05,514.0,2023-12,519.5,3733998,Metals
HINDALCO,522.4,2023-12-11 05:30:00,523.8,517.1,2023-12,520.3,2597347,Metals
